,vehicle_id,consistency_pct,live_pct,gsm_average,heart_beat,analysis_for_day,vehicle_number,model_name,installation_date
0,6046,93.96,86.94,79.79,Has heartbeat,2022-01-05,NL01AA4912,WETRACK2,2018-06-27
1,7242,96.39,92.57,96.43,Has heartbeat,2022-01-05,HR55Y8651,WETRACK2,2018-07-20
2,7753,100.0,99.72,63.56,Has heartbeat,2022-01-05,NL01AC0284,WETRACK2,2018-07-28
3,8259,97.78,97.78,75.4,Has heartbeat,2022-01-05,NL01AA6688,WETRACK2,2018-08-02
4,8764,93.68,93.06,89.73,Has heartbeat,2022-01-05,HR55AD2198,WETRACK2,2018-08-10
5,8775,99.44,99.44,99.5,Has heartbeat,2022-01-05,HR55AD5041,WETRACK2,2018-08-10
6,8859,99.65,90.56,86.04,Has heartbeat,2022-01-05,NL01AC0798,WETRACK2,2018-08-13
7,11774,99.86,99.86,99.86,Has heartbeat,2022-01-05,NL01AB1652,WETRACK2,2018-09-23
8,12208,99.79,95.97,92.52,Has heartbeat,2022-01-05,NL01AC2624,GT06N,2018-09-30
9,12826,99.38,99.38,86.34,Has heartbeat,2022-01-05,NL01AC2882,WETRACK2,2018-10-09
10,5738,99.17,99.03,79.48,Has heartbeat,2022-01-05,NL01AA4762,WETRACK2,2018-10-10
11,19748,99.38,99.38,100.0,Has heartbeat,2022-01-05,NL01AC4193,WETRACK2,2019-01-17
12,12844,100.0,82.5,44.16,No heartbeat,2022-01-05,NL01AC4180,C100,2019-07-01
13,136609,84.1,0.0,62.29,No heartbeat,2022-01-05,NL01AD9861,FMB920,2019-09-23
14,456375,99.72,99.72,99.98,Has heartbeat,2022-01-05,HR55W0408,WETRACK2,2020-01-13
15,794015,99.93,99.65,100.0,Has heartbeat,2022-01-05,HR55X2602,WETRACK2,2020-06-25
16,861716,96.74,92.71,97.3,Has heartbeat,2022-01-05,NL01AB1894,WETRACK2,2020-08-06
17,887012,99.65,97.36,97.52,Has heartbeat,2022-01-05,HR55Y1278,WETRACK2,2020-08-23
18,1025419,96.32,84.1,92.85,Has heartbeat,2022-01-05,NL01AC2881,WETRACK2,2020-11-24
19,1520558,99.86,89.93,80.75,No heartbeat,2022-01-05,NL01AF0483,WECX01,2021-09-12
20,1608069,92.85,83.82,41.99,No heartbeat,2022-01-05,HR38AC8427,WECX01,2021-10-08
21,1607556,99.93,89.72,85.2,No heartbeat,2022-01-05,HR38AC5450,WECX01,2021-10-08
22,1611286,0.0,0.0,0.0,No data,2022-01-05,HR38AC0788,WECX01,2021-10-10
23,1611839,97.5,87.22,77.47,No heartbeat,2022-01-05,HR38AC9564,WECX01,2021-10-10
24,1612282,94.24,69.31,50.08,No heartbeat,2022-01-05,HR38AC4399,WECX01,2021-10-10
25,1611816,95.0,72.71,50.09,No heartbeat,2022-01-05,HR38AC7975,WECX01,2021-10-10
26,1613938,0.0,0.0,0.0,No data,2022-01-05,HR38AC9561,WECX01,2021-10-11
27,1677917,100.0,82.43,51.64,No heartbeat,2022-01-05,HR055AD2198,WEYE01,2021-11-18
28,1678163,96.94,83.96,56.33,No heartbeat,2022-01-05,NL001AA4912,WEYE01,2021-11-18
29,1678413,89.93,78.12,74.0,No heartbeat,2022-01-05,NL001AA6688,WEYE01,2021-11-18
30,1678510,99.58,77.85,54.2,No heartbeat,2022-01-05,HR038AC4399,WEYE01,2021-11-18
31,1678279,60.35,55.97,48.67,No heartbeat,2022-01-05,HR038AC8427,WEYE01,2021-11-18
32,1681968,100.0,91.46,69.95,No heartbeat,2022-01-05,NL011AA4762,WEYE01,2021-11-20
33,1681792,76.25,69.24,96.37,No heartbeat,2022-01-05,NL001AB1652,WEYE01,2021-11-20
34,1682062,99.72,91.67,60.14,No heartbeat,2022-01-05,NL011AB1894,WEYE01,2021-11-20
35,1682191,99.58,89.1,86.13,No heartbeat,2022-01-05,HR038AC9564,WEYE01,2021-11-20
36,1682513,99.72,91.39,64.59,No heartbeat,2022-01-05,HR055AD5041,WEYE01,2021-11-20
37,1682478,100.0,89.79,76.78,No heartbeat,2022-01-05,HR038AC5450,WEYE01,2021-11-20
38,1681662,99.38,91.46,66.23,No heartbeat,2022-01-05,HR055X2249,WEYE01,2021-11-20
39,1682332,90.35,74.86,62.38,No heartbeat,2022-01-05,HR138AC7975,WEYE01,2021-11-20
40,1682411,92.29,84.65,75.97,No heartbeat,2022-01-05,NL001AC2882,WEYE01,2021-11-20
41,1696544,96.18,82.36,74.03,No heartbeat,2022-01-05,NL010AC2624,TMG,2021-11-27
42,1696606,95.9,90.0,75.29,No heartbeat,2022-01-05,HR055Y8651,TMG,2021-11-27
43,1696574,100.0,89.51,80.14,No heartbeat,2022-01-05,HR055Y1278,TMG,2021-11-27
44,1696506,97.5,81.46,65.13,No heartbeat,2022-01-05,NL001AC4180,TMG,2021-11-27
45,1696471,85.69,76.88,79.36,No heartbeat,2022-01-05,HR055X2602,TMG,2021-11-27
46,1697468,100.0,92.71,76.5,No heartbeat,2022-01-05,NL001AC4193,TMG,2021-11-28
47,1697575,99.17,91.39,78.49,No heartbeat,2022-01-05,NL001AC0284,TMG,2021-11-28
48,1697622,100.0,83.12,67.57,No heartbeat,2022-01-05,NL001AC2881,TMG,2021-11-28
49,1697499,99.79,83.4,74.59,No heartbeat,2022-01-05,NL001AC0798,TMG,2021-11-28
50,1697533,100.0,90.97,73.67,No heartbeat,2022-01-05,HR0038AC0788,TMG,2021-11-28
51,1697119,100.0,89.24,76.57,No heartbeat,2022-01-05,NL001AF0483,TMG,2021-11-28
52,1697202,94.58,85.76,81.66,No heartbeat,2022-01-05,HR038AC9561,TMG,2021-11-28
53,1697276,95.28,86.74,81.02,No heartbeat,2022-01-05,NL001AD9861,TMG,2021-11-28
54,1697339,89.17,81.11,71.02,No heartbeat,2022-01-05,HR055W0408,TMG,2021-12-01
