,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
21,2022-01-09,1608069,HR38AC8427,WECX01,0.0,0.0,0,0.0,93
27,2022-01-09,1678279,HR038AC8427,WEYE01,0.0,0.0,0,1.0,52
3,2022-01-09,8259,NL01AA6688,WETRACK2,0.0,0.0,0,0.0,1256
28,2022-01-09,1678413,NL001AA6688,WEYE01,0.0,0.0,0,1.0,52
5,2022-01-09,8764,HR55AD2198,WETRACK2,0.0,0.0,0,0.0,1248
29,2022-01-09,1677917,HR055AD2198,WEYE01,0.0,0.0,0,0.0,52
0,2022-01-09,6046,NL01AA4912,WETRACK2,0.0,0.0,0,1.0,1292
30,2022-01-09,1678163,NL001AA4912,WEYE01,0.0,0.0,0,1.0,52
22,2022-01-09,1612282,HR38AC4399,WECX01,0.0,0.0,0,0.0,91
31,2022-01-09,1678510,HR038AC4399,WEYE01,0.0,0.0,0,0.0,52
9,2022-01-09,12826,NL01AC2882,WETRACK2,0.0,0.0,0,0.0,1188
32,2022-01-09,1682411,NL001AC2882,WEYE01,0.0,0.0,0,1.0,50
20,2022-01-09,1607556,HR38AC5450,WECX01,0.0,0.0,0,0.0,93
33,2022-01-09,1682478,HR038AC5450,WEYE01,0.0,0.0,0,0.0,50
16,2022-01-09,861716,NL01AB1894,WETRACK2,0.0,0.0,0,0.0,521
34,2022-01-09,1682062,NL011AB1894,WEYE01,0.0,0.0,0,0.0,50
35,2022-01-09,1681662,HR055X2249,WEYE01,0.0,0.0,0,1.0,50
25,2022-01-09,1611839,HR38AC9564,WECX01,0.0,0.0,0,0.0,91
36,2022-01-09,1682191,HR038AC9564,WEYE01,0.0,0.0,0,0.0,50
4,2022-01-09,8775,HR55AD5041,WETRACK2,0.0,0.0,0,0.0,1248
37,2022-01-09,1682513,HR055AD5041,WEYE01,0.0,0.0,0,0.0,50
24,2022-01-09,1611816,HR38AC7975,WECX01,0.0,0.0,0,1.0,91
38,2022-01-09,1682332,HR138AC7975,WEYE01,0.0,0.0,0,1.0,50
7,2022-01-09,11774,NL01AB1652,WETRACK2,0.0,0.0,0,0.0,1204
39,2022-01-09,1681792,NL001AB1652,WEYE01,0.0,0.0,0,0.0,50
10,2022-01-09,5738,NL01AA4762,WETRACK2,0.0,0.0,0,0.0,1187
40,2022-01-09,1681968,NL011AA4762,WEYE01,0.0,0.0,0,0.0,50
8,2022-01-09,12208,NL01AC2624,GT06N,0.0,0.0,0,0.0,1197
41,2022-01-09,1696544,NL010AC2624,TMG,0.0,0.0,0,1.0,43
15,2022-01-09,794015,HR55X2602,WETRACK2,0.0,0.0,0,0.0,563
42,2022-01-09,1696471,HR055X2602,TMG,0.0,0.0,0,0.0,43
12,2022-01-09,12844,NL01AC4180,C100,0.0,0.0,0,0.0,923
43,2022-01-09,1696506,NL001AC4180,TMG,0.0,0.0,0,0.0,43
17,2022-01-09,887012,HR55Y1278,WETRACK2,0.0,0.0,0,0.0,504
44,2022-01-09,1696574,HR055Y1278,TMG,0.0,0.0,0,0.0,43
1,2022-01-09,7242,HR55Y8651,WETRACK2,0.0,0.0,0,0.0,1269
45,2022-01-09,1696606,HR055Y8651,TMG,0.0,0.0,0,0.0,43
13,2022-01-09,136609,NL01AD9861,FMB920,0.0,0.0,0,0.0,839
46,2022-01-09,1697276,NL001AD9861,TMG,0.0,0.0,0,1.0,42
11,2022-01-09,19748,NL01AC4193,WETRACK2,0.0,0.0,0,0.0,1088
47,2022-01-09,1697468,NL001AC4193,TMG,0.0,0.0,0,0.0,42
19,2022-01-09,1520558,NL01AF0483,WECX01,0.0,0.0,0,1.0,119
48,2022-01-09,1697119,NL001AF0483,TMG,0.0,0.0,0,0.0,42
6,2022-01-09,8859,NL01AC0798,WETRACK2,0.0,0.0,0,0.0,1245
49,2022-01-09,1697499,NL001AC0798,TMG,0.0,0.0,0,0.0,42
2,2022-01-09,7753,NL01AC0284,WETRACK2,0.0,0.0,0,0.0,1261
50,2022-01-09,1697575,NL001AC0284,TMG,0.0,0.0,0,0.0,42
23,2022-01-09,1611286,HR38AC0788,WECX01,0.0,0.0,0,0.0,91
51,2022-01-09,1697533,HR0038AC0788,TMG,0.0,0.0,0,0.0,42
18,2022-01-09,1025419,NL01AC2881,WETRACK2,0.0,0.0,0,0.0,411
52,2022-01-09,1697622,NL001AC2881,TMG,0.0,0.0,0,0.0,42
26,2022-01-09,1613938,HR38AC9561,WECX01,0.0,0.0,0,0.0,90
53,2022-01-09,1697202,HR038AC9561,TMG,0.0,0.0,0,0.0,42
14,2022-01-09,456375,HR55W0408,WETRACK2,0.0,0.0,0,0.0,727
54,2022-01-09,1697339,HR055W0408,TMG,0.0,0.0,0,0.0,39
