,vehicle_number,2022_3_21,2022_3_22,2022_3_23,2022_3_24,2022_3_25,2022_3_26,2022_3_27,2022_3_28,2022_3_29,2022_3_30,2022_3_31,2022_4_1,2022_4_2,2022_4_3,2022_4_4,2022_4_5,2022_4_6,2022_4_7,2022_4_8,2022_4_9,2022_4_10,2022_4_11,2022_4_12,2022_4_13,2022_4_14,2022_4_15,2022_4_16,2022_4_17,2022_4_18,2022_4_19,2022_4_20,2022_4_21,2022_4_22,2022_4_23,2022_4_24,2022_4_25,2022_4_26,2022_4_27,2022_4_28
0,NL01AA4912,97.5,94.38,85.07,89.17,89.24,85.9,81.81,80.42,85.21,98.19,80.49,94.65,98.26,93.75,98.54,71.39,80.9,91.11,79.31,81.46,44.86,77.43,96.18,97.57,90.62,85.42,89.93,90.62,93.68,84.03,57.85,79.51,92.43,98.19,97.08,91.11,92.78,95.0,86.88
1,HR55Y8651,84.1,87.22,96.53,90.0,85.35,90.62,95.35,88.26,84.24,94.31,96.88,85.97,66.81,85.97,90.21,94.72,82.01,84.31,91.6,95.69,82.92,84.79,90.21,94.44,78.33,85.21,84.72,95.83,89.79,83.33,99.86,84.24,82.99,87.64,84.58,91.88,87.99,85.07,95.07
2,NL01AC0284,97.64,99.1,96.94,96.94,98.33,93.33,95.9,99.65,99.72,99.1,98.75,98.12,95.07,99.72,98.61,98.4,96.67,97.99,91.25,98.96,98.19,96.94,98.82,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.72,45.83,40.28,81.18,60.49,35.62,18.54,16.25
3,NL01AA6688,83.89,84.44,80.14,84.79,85.07,85.9,81.67,84.31,58.47,0.0,0.0,0.0,0.0,0.0,48.61,83.47,83.54,85.21,79.79,84.72,84.31,84.65,75.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,HR55AD2198,79.79,60.76,95.97,97.85,85.42,85.56,94.31,91.04,41.74,93.33,96.32,84.17,81.88,79.79,92.71,48.4,94.93,95.76,79.86,84.24,82.64,42.22,91.53,90.14,82.57,0.0,0.0,95.56,0.0,82.78,4.93,18.68,72.71,92.15,24.03,81.88,36.39,85.42,80.83
5,HR55AD5041,71.94,80.42,75.28,56.39,94.72,82.08,51.39,73.33,92.78,94.38,76.25,79.03,98.54,96.46,83.06,82.15,94.79,95.21,94.38,97.36,81.11,84.93,97.99,14.44,0.0,91.18,94.03,0.0,86.39,0.0,98.68,80.83,66.18,47.01,91.94,92.78,83.47,18.06,62.5
6,NL01AB1652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,NL01AC2624,82.85,84.72,95.49,97.15,98.12,91.32,80.28,96.18,99.31,86.18,82.43,98.26,85.42,88.19,98.54,84.38,84.38,98.4,88.26,98.26,84.31,85.07,90.83,98.96,88.96,98.26,90.07,98.33,83.75,83.26,98.26,97.85,83.61,96.25,82.5,87.15,84.72,96.94,95.0
8,NL01AC2882,95.49,91.25,82.92,91.74,91.94,86.32,82.43,91.74,94.17,95.76,80.35,95.97,94.58,83.26,96.18,90.76,83.68,96.18,92.57,83.4,84.65,70.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NL01AC4193,94.38,85.14,87.99,95.42,80.9,85.76,74.17,91.04,95.14,84.24,89.1,92.78,84.72,83.75,98.06,87.43,85.62,98.89,78.82,84.51,89.31,77.64,94.31,60.76,98.75,86.74,81.81,84.58,83.96,85.14,99.79,84.17,83.19,85.56,84.1,93.06,87.78,91.39,81.32
10,NL01AC4180,97.99,99.86,62.99,52.15,75.97,59.38,53.06,93.26,72.92,99.58,80.76,80.42,94.72,90.69,76.11,99.03,99.86,90.0,90.76,96.74,94.38,87.99,97.92,99.65,98.47,74.86,77.5,94.51,98.82,90.56,72.5,98.4,85.42,81.46,98.61,97.71,92.22,73.4,97.22
11,NL01AD9861,97.08,97.78,99.03,97.29,98.33,98.68,98.89,99.24,98.12,98.47,97.99,97.01,99.24,98.61,98.68,97.08,96.11,97.64,96.81,97.43,97.92,97.29,99.17,94.65,97.78,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.31
12,HR55W0408,83.75,83.47,81.67,23.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,2.01
13,HR55X2602,0.0,0.0,3.82,0.0,0.0,27.5,81.81,86.04,85.07,42.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.88,0.0,15.56,84.17,82.71,81.04,98.96,83.61,83.26,87.5,76.6,83.26,81.81,84.31,80.9
14,NL01AB1894,84.24,91.74,91.32,84.1,93.89,97.5,81.67,68.12,82.36,85.21,81.04,90.14,95.0,96.18,89.03,84.38,92.92,84.1,90.0,90.35,97.22,84.24,81.53,80.35,89.38,85.56,98.75,84.1,97.64,95.9,99.93,96.25,83.26,93.61,81.88,90.0,91.18,85.07,84.58
15,HR55Y1278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.58,83.19,98.4,92.92,76.81,84.58,99.65,93.68,81.88,87.85,98.26,96.67,93.96,98.33,95.21,78.19,74.79,90.49,95.42,97.29,82.71,53.96,0.0,24.1,96.18,88.75,85.56,81.46,81.11,82.5,82.43,77.92
16,NL01AC2881,83.33,87.99,81.74,77.57,80.69,92.85,90.21,91.46,85.07,91.81,68.75,87.08,85.76,87.43,79.17,84.38,83.12,85.14,76.32,93.4,82.29,93.33,90.0,91.32,75.83,93.96,81.74,84.93,94.1,82.08,96.25,84.38,84.65,87.71,82.5,84.44,93.26,78.89,96.67
17,NL01AF0483,99.65,99.72,99.38,99.38,94.93,95.21,99.79,99.72,99.24,98.82,95.62,99.51,99.17,99.44,99.31,99.03,94.79,98.82,99.51,99.31,99.58,89.51,98.19,99.93,99.86,99.79,99.24,99.72,96.6,99.17,99.72,99.79,99.38,99.38,97.85,98.89,99.93,99.24,96.39
18,HR38AC5450,99.72,99.24,92.92,71.25,19.31,94.17,99.65,98.33,98.06,85.56,99.65,87.85,97.15,96.6,92.22,98.68,98.82,81.81,97.22,85.69,96.74,91.46,99.86,100.0,99.51,87.36,95.69,96.94,99.31,98.26,86.74,91.04,98.68,99.86,98.82,96.74,99.17,99.51,95.62
19,HR38AC8427,98.47,95.97,96.67,97.22,94.17,97.99,99.79,99.65,99.1,99.24,83.54,97.99,97.29,99.86,99.38,97.78,97.29,97.29,78.4,92.99,91.88,96.25,99.93,99.72,96.67,98.54,93.33,94.03,98.75,98.47,92.43,97.85,98.4,99.72,99.65,98.61,88.12,96.04,99.86
20,HR38AC9564,99.24,99.51,96.53,98.75,93.33,98.82,98.4,98.68,98.61,89.31,98.89,99.51,98.06,97.71,99.72,95.62,96.74,93.75,99.72,94.31,92.22,94.58,94.17,96.25,97.08,97.43,99.51,97.78,98.26,98.06,92.43,99.65,99.31,95.83,99.72,95.28,95.28,98.54,97.78
21,HR38AC7975,98.75,98.26,92.29,99.79,97.85,99.1,99.72,98.4,94.31,93.19,84.38,95.69,99.44,96.53,98.47,99.38,95.0,92.78,85.76,99.17,98.12,97.43,95.07,97.15,76.39,99.58,94.38,97.71,97.5,98.19,99.79,98.82,96.46,99.65,99.86,99.58,85.07,98.33,98.06
22,HR38AC4399,95.56,99.72,99.65,99.51,85.76,99.79,98.68,95.49,67.15,67.01,89.31,46.94,85.21,98.47,97.71,99.17,97.85,90.0,96.6,97.78,97.5,99.51,99.93,18.89,97.15,95.83,99.79,94.65,99.24,92.92,96.53,98.26,99.44,98.33,97.92,96.67,92.01,97.5,99.1
23,HR38AC0788,88.82,92.22,98.89,94.31,87.08,75.07,94.86,99.58,92.99,94.72,97.99,99.51,98.68,99.58,99.17,95.9,99.24,87.29,98.54,94.72,96.6,99.38,98.89,96.74,99.58,91.18,99.44,99.72,97.36,99.58,100.0,96.11,99.44,99.65,97.85,99.44,98.82,97.85,98.33
24,HR38AC9561,96.81,97.57,96.74,94.38,97.64,99.72,94.65,99.72,99.44,99.51,96.04,99.58,93.33,87.29,97.64,99.31,98.82,98.19,96.81,96.74,96.53,99.65,94.65,94.51,96.53,96.94,98.75,99.79,98.82,98.61,99.86,97.78,99.51,96.11,62.29,81.6,98.47,93.68,98.26
25,NL01AC0798,93.12,83.26,79.31,64.72,85.28,98.06,81.53,85.14,83.96,85.14,77.71,88.47,97.92,79.51,74.58,87.5,95.69,92.36,78.26,91.18,97.64,95.0,80.97,82.5,83.96,96.74,83.26,84.72,84.44,87.08,99.86,83.82,82.92,87.43,97.5,98.68,85.14,85.76,81.11
26,NL01AA4762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.38,96.25,96.67,97.22,98.75,97.71,97.08,99.1,98.75,97.99,97.64,97.29,99.93,96.81,95.62,96.39,98.75,96.81,97.57,99.86,99.03
