,vehicle_number,2022_3_21,2022_3_22,2022_3_23,2022_3_24,2022_3_25,2022_3_26,2022_3_27,2022_3_28,2022_3_29,2022_3_30,2022_3_31,2022_4_1,2022_4_2,2022_4_3,2022_4_4,2022_4_5,2022_4_6,2022_4_7,2022_4_8,2022_4_9,2022_4_10,2022_4_11,2022_4_12,2022_4_13,2022_4_14,2022_4_15,2022_4_16,2022_4_17,2022_4_18,2022_4_19,2022_4_20,2022_4_21,2022_4_22,2022_4_23,2022_4_24,2022_4_25,2022_4_26,2022_4_27,2022_4_28
0,NL01AA4912,77.82,74.26,80.92,86.7,97.17,99.66,99.75,83.95,73.8,84.68,75.79,77.98,83.86,87.47,94.88,80.08,88.67,78.67,94.02,97.59,60.55,74.32,71.7,81.22,88.57,90.78,72.48,61.43,92.84,91.16,67.96,65.55,67.48,76.42,85.26,80.78,80.56,68.23,73.0
1,HR55Y8651,97.31,99.66,96.2,99.92,97.47,99.88,97.58,99.69,97.36,99.88,97.54,99.92,99.62,97.2,99.92,97.95,99.89,97.96,99.94,96.66,99.81,98.08,99.69,95.3,99.52,97.37,99.56,97.55,99.92,99.92,99.93,99.92,99.9,97.6,99.81,97.2,99.36,96.64,99.94
2,NL01AC0284,95.81,97.46,99.59,99.75,98.23,95.76,95.65,99.6,100.0,99.84,99.59,99.81,95.51,99.03,100.0,99.98,99.68,98.16,86.11,89.28,78.72,80.13,99.69,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.85,96.06,97.84,94.36,98.86,97.99,98.89,99.15
3,NL01AA6688,99.4,99.8,100.0,99.78,99.82,99.86,99.87,99.8,99.97,0.0,0.0,0.0,0.0,0.0,99.93,99.75,98.69,99.92,99.68,99.96,99.75,99.73,99.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,HR55AD2198,84.73,93.86,90.76,97.92,94.31,97.12,91.94,94.91,91.39,90.28,95.6,97.41,88.28,94.44,95.6,97.91,94.53,98.93,82.8,77.65,91.62,98.44,85.26,80.32,84.1,0.0,0.0,98.46,0.0,92.8,98.63,91.91,81.15,92.78,90.28,88.6,94.79,97.48,95.05
5,HR55AD5041,98.65,95.24,93.83,83.33,90.37,85.92,69.78,95.67,88.93,91.7,90.41,96.19,96.32,95.76,97.27,94.75,90.05,89.63,94.63,97.39,98.09,95.51,90.71,58.33,0.0,90.81,91.69,0.0,90.87,0.0,91.64,94.71,94.31,91.46,89.21,96.73,94.89,95.33,82.19
6,NL01AB1652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,NL01AC2624,99.84,99.83,90.31,93.67,99.17,100.0,99.75,89.43,99.96,99.92,93.07,99.21,99.92,99.05,99.44,100.0,88.01,98.92,98.24,99.35,100.0,100.0,98.38,99.9,98.45,97.95,97.18,100.0,100.0,99.91,91.05,99.94,91.63,99.42,100.0,100.0,95.28,100.0,95.38
8,NL01AC2882,82.94,93.27,98.42,86.52,92.71,98.57,95.81,95.36,84.32,94.54,93.97,87.79,88.19,98.2,87.25,96.71,93.38,88.11,93.96,93.19,79.46,99.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NL01AC4193,95.94,100.0,89.62,99.55,100.0,100.0,99.86,87.17,97.37,100.0,90.91,98.08,99.92,97.34,93.34,99.98,85.64,98.85,100.0,99.92,99.78,89.92,97.58,90.29,94.35,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.41,87.01,97.53,90.21,99.25,100.0
