,vehicle_number,2022_3_21,2022_3_22,2022_3_23,2022_3_24,2022_3_25,2022_3_26,2022_3_27,2022_3_28,2022_3_29,2022_3_30,2022_3_31,2022_4_1,2022_4_2,2022_4_3,2022_4_4,2022_4_5,2022_4_6,2022_4_7,2022_4_8,2022_4_9,2022_4_10,2022_4_11,2022_4_12,2022_4_13,2022_4_14,2022_4_15,2022_4_16,2022_4_17,2022_4_18,2022_4_19,2022_4_20,2022_4_21,2022_4_22,2022_4_23,2022_4_24,2022_4_25,2022_4_26,2022_4_27,2022_4_28
0,NL01AA4912,80.9,73.82,65.42,78.75,81.6,85.9,81.81,76.88,70.97,82.92,76.39,81.18,84.79,77.43,87.85,67.85,77.15,77.43,59.1,78.47,43.54,67.71,69.65,78.47,80.97,84.44,70.0,71.04,80.21,83.12,56.32,78.68,63.26,76.74,89.93,84.03,80.56,70.76,65.97
1,HR55Y8651,81.94,85.56,84.65,82.5,84.72,84.17,80.76,82.36,83.19,86.04,84.51,82.5,66.25,84.72,86.46,82.08,77.92,81.94,82.64,82.78,70.49,82.43,83.96,82.01,67.22,83.26,81.88,84.1,83.06,83.33,99.86,84.24,82.99,84.86,83.4,82.78,86.94,83.4,81.67
2,NL01AC0284,73.89,82.5,79.51,81.11,84.86,75.76,70.21,84.17,85.49,86.18,84.31,83.47,68.47,81.11,87.64,83.26,80.9,77.22,61.25,84.1,81.25,76.6,83.33,4.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.72,32.22,40.21,67.64,47.01,35.69,18.47,16.25
3,NL01AA6688,83.89,84.44,80.14,84.79,85.07,85.9,81.67,84.31,58.47,0.0,0.0,0.0,0.0,0.0,48.61,83.47,83.54,85.21,79.79,84.72,84.31,84.65,75.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,HR55AD2198,79.79,57.57,72.85,79.1,85.42,69.58,78.12,79.58,39.51,79.44,78.26,84.17,69.79,66.81,81.46,46.94,76.81,79.79,79.86,64.93,65.9,38.96,67.57,75.49,78.54,0.0,0.0,81.32,0.0,81.88,4.93,18.68,70.83,75.35,23.96,67.01,22.43,85.42,79.51
5,HR55AD5041,71.74,80.42,73.75,53.47,72.5,69.86,45.0,72.15,78.47,71.11,76.25,75.76,83.61,83.33,72.15,80.14,69.58,77.08,77.71,81.25,80.9,84.51,73.68,0.21,0.0,70.97,76.18,0.0,79.72,0.0,92.71,62.99,65.76,33.33,79.31,83.54,83.06,18.06,55.56
6,NL01AB1652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,NL01AC2624,82.78,83.33,63.26,69.86,77.92,85.97,77.78,67.92,85.49,86.18,63.61,79.44,84.93,78.19,83.96,84.31,70.69,80.97,76.18,84.31,84.31,85.07,68.96,84.17,79.03,82.36,68.33,84.38,83.75,76.88,79.58,83.26,69.86,80.97,81.11,84.58,78.26,84.24,74.79
8,NL01AC2882,83.26,80.07,82.85,77.08,76.18,84.79,80.28,89.79,77.85,84.1,77.22,81.94,80.0,81.81,81.6,78.61,81.39,83.61,77.5,83.33,77.22,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NL01AC4193,75.69,85.14,69.24,81.74,80.9,85.76,72.78,71.04,77.5,84.31,69.79,76.11,84.65,82.57,79.31,83.96,71.32,84.1,78.75,84.51,84.03,66.18,76.94,51.94,80.0,84.86,81.81,84.51,83.89,85.07,99.79,84.1,83.19,85.56,67.36,79.93,72.01,84.44,81.32
10,NL01AC4180,81.25,81.67,22.92,13.4,14.65,16.39,15.28,65.62,47.71,42.71,31.25,29.1,28.68,38.61,29.79,70.14,77.57,33.06,44.03,29.03,38.4,30.83,46.88,48.33,41.39,23.68,31.67,16.39,15.69,29.93,23.54,57.22,27.85,37.92,16.25,15.42,34.38,21.04,64.1
11,NL01AD9861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,HR55W0408,83.75,83.47,81.67,23.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,2.01
13,HR55X2602,0.0,0.0,3.82,0.0,0.0,27.5,81.81,86.04,85.07,42.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.88,0.0,15.14,84.17,82.64,80.97,98.96,83.61,83.19,87.5,76.53,83.26,81.74,84.31,80.9
14,NL01AB1894,83.54,82.92,79.03,82.43,81.94,85.0,78.54,62.64,81.25,83.82,79.65,77.08,86.25,82.64,84.72,82.85,78.96,81.18,73.54,83.12,80.35,81.81,69.24,80.21,82.85,81.25,78.61,82.29,83.54,85.28,99.31,82.43,82.22,85.97,80.76,75.76,84.03,84.03,77.78
